交通位置,参考价格,建成时间,建筑风格,所在小区,所属区县,网址
"
近地铁2号线阜成门站
",129345元/m2,/ 1972年建成,/板楼/塔板结合,月坛,西城,https://bj.lianjia.com/xiaoqu/1111027382064/
"
近地铁9号线白堆子站
",126808元/m2,/ 1978年建成,/板楼,月坛,西城,https://bj.lianjia.com/xiaoqu/1111027374175/
"
近地铁4号线大兴线陶然亭站
",94113元/m2,/ 1974年建成,/板楼/塔板结合,牛街,西城,https://bj.lianjia.com/xiaoqu/1111027378771/
"
近地铁7号线达官营站
",86522元/m2,/ 1982年建成,/塔楼/板楼/塔板结合,马连道,西城,https://bj.lianjia.com/xiaoqu/1111027379632/
"
近地铁1号线木樨地站
",97650元/m2,/ 1964年建成,/塔楼/板楼,木樨地,西城,https://bj.lianjia.com/xiaoqu/1111027377856/
"
近地铁2号线西直门站
",110041元/m2,/ 1980年建成,/塔楼/塔板结合,官园,西城,https://bj.lianjia.com/xiaoqu/1111027381458/
"
近地铁4号线大兴线动物园站
",95648元/m2,/ 1984年建成,/板楼,车公庄,西城,https://bj.lianjia.com/xiaoqu/1111027380504/
"
近地铁7号线虎坊桥站
",100763元/m2,/ 2002年建成,/塔楼/板楼/塔板结合,陶然亭,西城,https://bj.lianjia.com/xiaoqu/1111027376481/
"
近地铁8号线安华桥站
",134221元/m2,/ 1981年建成,/塔楼/板楼,六铺炕,西城,https://bj.lianjia.com/xiaoqu/1111027375257/
"
近地铁9号线白堆子站
",126002元/m2,/ 1960年建成,/板楼,月坛,西城,https://bj.lianjia.com/xiaoqu/1111027382067/
"
近地铁4号线大兴线动物园站
",106628元/m2,/ 1950年建成,/塔楼/板楼/塔板结合,阜成门,西城,https://bj.lianjia.com/xiaoqu/1111027382586/
"
",83457元/m2,/ 2004年建成,/塔楼/板楼/塔板结合,菜户营,西城,https://bj.lianjia.com/xiaoqu/1111027377722/
"
近地铁10号线健德门站
",137022元/m2,/ 1985年建成,/塔楼/板楼/塔板结合,马甸,西城,https://bj.lianjia.com/xiaoqu/1111027378248/
"
近地铁2号线车公庄站
",125961元/m2,/ 2004年建成,/塔楼/塔板结合,车公庄,西城,https://bj.lianjia.com/xiaoqu/1111027377146/
"
近地铁2号线车公庄站
",114443元/m2,/ 1994年建成,/板楼,官园,西城,https://bj.lianjia.com/xiaoqu/1111027374838/
"
近地铁7号线达官营站
",86589元/m2,/ 1980年建成,/塔楼/板楼,马连道,西城,https://bj.lianjia.com/xiaoqu/1111027375155/
"
近地铁9号线白堆子站
",135165元/m2,/ 1978年建成,/板楼,月坛,西城,https://bj.lianjia.com/xiaoqu/1111027374176/
"
近地铁4号线大兴线新街口站
",104304元/m2,/ 2003年建成,/板楼,新街口,西城,https://bj.lianjia.com/xiaoqu/1111027380942/
"
近地铁8号线安德里北街站
",131125元/m2,/ 1984年建成,/板楼,六铺炕,西城,https://bj.lianjia.com/xiaoqu/1111027373722/
"
近地铁7号线垡头站
",45827元/m2,/ 2007年建成,/板楼,垡头,朝阳,https://bj.lianjia.com/xiaoqu/1111027376354/
"
近地铁10号线劲松站
",59140元/m2,/ 1973年建成,/塔楼/板楼/塔板结合/平房,劲松,朝阳,https://bj.lianjia.com/xiaoqu/1111027378492/
"
近地铁13号线北苑站
",76122元/m2,/ 2010年建成,/板楼/塔板结合/平房,北苑,朝阳,https://bj.lianjia.com/xiaoqu/1111027375158/
"
近地铁6号线草房站
",43292元/m2,/ 1994年建成,/塔楼/板楼/塔板结合,常营,朝阳,https://bj.lianjia.com/xiaoqu/1111041688588/
"
近地铁13号线芍药居站
",75897元/m2,/ 1994年建成,/塔楼/板楼/塔板结合,芍药居,朝阳,https://bj.lianjia.com/xiaoqu/1111027379657/
"
近地铁6号线草房站
",45188元/m2,/ 2009年建成,/塔楼/塔板结合,常营,朝阳,https://bj.lianjia.com/xiaoqu/1111041899696/
"
近地铁6号线十里堡站
",54909元/m2,/ 1981年建成,/塔楼/板楼/塔板结合,石佛营,朝阳,https://bj.lianjia.com/xiaoqu/1111027376016/
"
近地铁10号线十里河站
",57934元/m2,/ 1985年建成,/塔楼/板楼,潘家园,朝阳,https://bj.lianjia.com/xiaoqu/1111027379691/
"
近地铁10号线劲松站
",58712元/m2,/ 1987年建成,/塔楼/板楼/塔板结合,潘家园,朝阳,https://bj.lianjia.com/xiaoqu/1111027375341/
"
近地铁5号线立水桥南站
",54324元/m2,/ 2006年建成,/塔楼/板楼/塔板结合/平房,北苑,朝阳,https://bj.lianjia.com/xiaoqu/1111027376257/
"
近地铁6号线十里堡站
",61138元/m2,/ 2004年建成,/塔楼/板楼,石佛营,朝阳,https://bj.lianjia.com/xiaoqu/1111027381237/
"
近地铁10号线双井站
",77813元/m2,/ 2005年建成,/塔楼/塔板结合,双井,朝阳,https://bj.lianjia.com/xiaoqu/1111027378713/
"
近地铁6号线青年路站
",57866元/m2,/ 2007年建成,/塔板结合,朝青,朝阳,https://bj.lianjia.com/xiaoqu/1111027374654/
"
近地铁1号线四惠站
",60702元/m2,/ 2000年建成,/板楼/塔板结合,四惠,朝阳,https://bj.lianjia.com/xiaoqu/1111027379834/
"
近地铁5号线立水桥南站
",50988元/m2,/ 2003年建成,/塔楼/板楼/塔板结合,北苑,朝阳,https://bj.lianjia.com/xiaoqu/1111027376255/
