交通位置,参考价格,建成时间,建筑风格,所在小区,所属区县,网址
"
",40852元/m2,,/ 2006年建成,南湖,建邺,https://nj.lianjia.com/xiaoqu/1411000000551/
"
",53661元/m2,,/ 2010年建成,奥南,建邺,https://nj.lianjia.com/xiaoqu/1420039175510140/
"
近地铁2号线莫愁湖站
",30395元/m2,,/ 1982年建成,南湖,建邺,https://nj.lianjia.com/xiaoqu/1411000000780/
"
近地铁2号线集庆门大街站
",51594元/m2,,/ 2002年建成,万达广场,建邺,https://nj.lianjia.com/xiaoqu/1411000000770/
"
近地铁2号线云锦路站
",34038元/m2,,/ 1999年建成,水西门,建邺,https://nj.lianjia.com/xiaoqu/1411000000296/
"
近地铁2号线云锦路站
",29898元/m2,,/ 1987年建成,茶南,建邺,https://nj.lianjia.com/xiaoqu/1411000000061/
"
近地铁2号线集庆门大街站
",31264元/m2,,/ 1996年建成,湖西街,建邺,https://nj.lianjia.com/xiaoqu/1411000000039/
"
近地铁2号线莫愁湖站
",29739元/m2,,/ 1981年建成,南湖,建邺,https://nj.lianjia.com/xiaoqu/1411041183726/
"
近地铁2号线集庆门大街站
",33052元/m2,,/ 1988年建成,南苑,建邺,https://nj.lianjia.com/xiaoqu/1411000000005/
"
",31398元/m2,,/ 1998年建成,南苑,建邺,https://nj.lianjia.com/xiaoqu/1411000000516/
"
",30355元/m2,,/ 1994年建成,南苑,建邺,https://nj.lianjia.com/xiaoqu/1411000000307/
"
",30067元/m2,,/ 1993年建成,南苑,建邺,https://nj.lianjia.com/xiaoqu/1411000000010/
"
近地铁3号线雨花门站
",40424元/m2,,/ 2006年建成,秦虹,秦淮,https://nj.lianjia.com/xiaoqu/1411043590236/
"
近地铁3号线明发广场站
",42788元/m2,,/ 2014年建成,洪家园,秦淮,https://nj.lianjia.com/xiaoqu/1411063016840/
"
",27860元/m2,,/ 2004年建成,月牙湖,秦淮,https://nj.lianjia.com/xiaoqu/1411046463725/
"
近地铁1号线三山街站
",29897元/m2,,/ 1993年建成,来凤里,秦淮,https://nj.lianjia.com/xiaoqu/1411041500069/
"
近地铁3号线大明路站
",29260元/m2,,/ 2000年建成,洪家园,秦淮,https://nj.lianjia.com/xiaoqu/146939477028894/
"
近地铁3号线卡子门站
",30444元/m2,,/ 2000年建成,洪家园,秦淮,https://nj.lianjia.com/xiaoqu/1411046917366/
"
",27309元/m2,,/ 1980年建成,秦虹,秦淮,https://nj.lianjia.com/xiaoqu/1411046888805/
"
近地铁2号线西安门站
",44798元/m2,,/ 1980年建成,瑞金路,秦淮,https://nj.lianjia.com/xiaoqu/1411043434688/
"
",30974元/m2,,/ 1997年建成,月牙湖,秦淮,https://nj.lianjia.com/xiaoqu/1411000000180/
"
近地铁1号线三山街站
",30491元/m2,,/ 1990年建成,升州路,秦淮,https://nj.lianjia.com/xiaoqu/1411000000631/
"
近地铁3号线夫子庙站
",31265元/m2,,/ 1983年建成,建康路,秦淮,https://nj.lianjia.com/xiaoqu/1411043490002/
"
近地铁3号线夫子庙站
",32810元/m2,,/ 1991年建成,建康路,秦淮,https://nj.lianjia.com/xiaoqu/1411000000876/
"
近地铁3号线常府街站
",39307元/m2,,/ 1988年建成,五老村,秦淮,https://nj.lianjia.com/xiaoqu/1411043592097/
"
近地铁2号线明故宫站
",41813元/m2,,/ 1976年建成,瑞金路,秦淮,https://nj.lianjia.com/xiaoqu/1411041190190/
"
",21418元/m2,,/ 2000年建成,洪家园,秦淮,https://nj.lianjia.com/xiaoqu/148440750812682/
"
近地铁3号线雨花门站
",31873元/m2,,/ 2004年建成,秦虹,秦淮,https://nj.lianjia.com/xiaoqu/1411046211097/
"
近地铁1号线张府园站
",32323元/m2,,/ 1997年建成,新街口,秦淮,https://nj.lianjia.com/xiaoqu/1411041185651/
"
",22111元/m2,,/ 2010年建成,月牙湖,秦淮,https://nj.lianjia.com/xiaoqu/1411047754029/
"
近地铁3号线卡子门站
",28772元/m2,,/ 2000年建成,洪家园,秦淮,https://nj.lianjia.com/xiaoqu/1411046917753/
"
",38427元/m2,,/ 2005年建成,光华路,秦淮,https://nj.lianjia.com/xiaoqu/1411046168785/
"
近地铁1号线三山街站
",31093元/m2,,/ 1992年建成,来凤里,秦淮,https://nj.lianjia.com/xiaoqu/1411041962923/
"
近地铁3号线卡子门站
",34803元/m2,,/ 2007年建成,洪家园,秦淮,https://nj.lianjia.com/xiaoqu/1411047365091/
"
",28862元/m2,,/ 2006年建成,洪家园,秦淮,https://nj.lianjia.com/xiaoqu/1412172161200369/
"
",27796元/m2,,/ 2007年建成,洪家园,秦淮,https://nj.lianjia.com/xiaoqu/1411746570677706/
"
近地铁2号线西安门站
",38005元/m2,,/ 1978年建成,五老村,秦淮,https://nj.lianjia.com/xiaoqu/1411043463497/
"
近地铁1号线张府园站
",54938元/m2,,/ 1990年建成,新街口,秦淮,https://nj.lianjia.com/xiaoqu/1411041801960/
"
",27927元/m2,,/ 1994年建成,秦虹,秦淮,https://nj.lianjia.com/xiaoqu/1411046917756/
"
近地铁3号线夫子庙站
",35227元/m2,,/ 1980年建成,夫子庙,秦淮,https://nj.lianjia.com/xiaoqu/1411041890869/
"
",30258元/m2,,/ 1981年建成,大光路,秦淮,https://nj.lianjia.com/xiaoqu/1411045087147/
"
",22564元/m2,,/ 2010年建成,月牙湖,秦淮,https://nj.lianjia.com/xiaoqu/1411047703858/
"
近地铁1号线鼓楼站
",49589元/m2,,/ 1982年建成,玄武门,玄武,https://nj.lianjia.com/xiaoqu/1411000000141/
"
",29856元/m2,,/ 2004年建成,月苑,玄武,https://nj.lianjia.com/xiaoqu/1411046917351/
"
近地铁1号线珠江路站
",36512元/m2,,/ 1998年建成,丹凤街,玄武,https://nj.lianjia.com/xiaoqu/1411000000106/
"
近地铁4号线徐庄·苏宁总部站
",34493元/m2,,/ 2007年建成,仙鹤门,玄武,https://nj.lianjia.com/xiaoqu/1411046917360/
"
",19491元/m2,,/ 2012年建成,马群,玄武,https://nj.lianjia.com/xiaoqu/1411047811541/
"
近地铁3号线浮桥站
",57394元/m2,,/ 1996年建成,珠江路,玄武,https://nj.lianjia.com/xiaoqu/1411000000604/
"
",24910元/m2,,/ 2011年建成,月苑,玄武,https://nj.lianjia.com/xiaoqu/2511053241110/
"
近地铁1号线鼓楼站
",36611元/m2,,/ 1994年建成,丹凤街,玄武,https://nj.lianjia.com/xiaoqu/1411000000599/
"
近地铁1号线珠江路站
",41321元/m2,,/ 1995年建成,长江路,玄武,https://nj.lianjia.com/xiaoqu/1411000000414/
"
近地铁4号线聚宝山站
",28750元/m2,,/ 2001年建成,月苑,玄武,https://nj.lianjia.com/xiaoqu/2511053682451/
"
近地铁2号线孝陵卫站
",26946元/m2,,/ 1994年建成,孝陵卫,玄武,https://nj.lianjia.com/xiaoqu/1411046918084/
"
",20286元/m2,,/ 2004年建成,马群,玄武,https://nj.lianjia.com/xiaoqu/2511052905651/
"
近地铁4号线蒋王庙站
",26816元/m2,,/ 1987年建成,锁金村,玄武,https://nj.lianjia.com/xiaoqu/1411000000317/
"
近地铁3号线浮桥站
",38052元/m2,,/ 1988年建成,长江路,玄武,https://nj.lianjia.com/xiaoqu/1411000000269/
"
近地铁3号线浮桥站
",43835元/m2,,/ 1990年建成,长江路,玄武,https://nj.lianjia.com/xiaoqu/1411000000655/
"
",41997元/m2,,/ 2009年建成,卫岗,玄武,https://nj.lianjia.com/xiaoqu/1411046465628/
"
近地铁3号线鸡鸣寺站
",54752元/m2,,/ 1977年建成,珠江路,玄武,https://nj.lianjia.com/xiaoqu/1411000000087/
"
",32708元/m2,,/ 2005年建成,迈皋桥,玄武,https://nj.lianjia.com/xiaoqu/1411046918079/
"
近地铁4号线徐庄·苏宁总部站
",36922元/m2,,/ 2011年建成,仙鹤门,玄武,https://nj.lianjia.com/xiaoqu/2511052538002/
"
近地铁1号线珠江路站
",37518元/m2,,/ 2008年建成,丹凤街,玄武,https://nj.lianjia.com/xiaoqu/1411000000492/
"
近地铁1号线迈皋桥站
",32634元/m2,,/ 1991年建成,迈皋桥,玄武,https://nj.lianjia.com/xiaoqu/1411046917367/
"
",43285元/m2,,/ 2006年建成,卫岗,玄武,https://nj.lianjia.com/xiaoqu/1411041567781/
"
",24774元/m2,,/ 2005年建成,迈皋桥,玄武,https://nj.lianjia.com/xiaoqu/2511053355679/
"
近地铁3号线浮桥站
",48440元/m2,,/ 1980年建成,珠江路,玄武,https://nj.lianjia.com/xiaoqu/1411000000878/
"
近地铁3号线浮桥站
",34102元/m2,,/ 1996年建成,长江路,玄武,https://nj.lianjia.com/xiaoqu/1411000000041/
"
近地铁2号线钟灵街站
",32101元/m2,,/ 1958年建成,孝陵卫,玄武,https://nj.lianjia.com/xiaoqu/1411047147752/
"
近地铁3号线浮桥站
",41425元/m2,,/ 1996年建成,珠江路,玄武,https://nj.lianjia.com/xiaoqu/1411000000282/
"
",27728元/m2,,/ 1999年建成,卫岗,玄武,https://nj.lianjia.com/xiaoqu/1411046519665/
"
",42501元/m2,,/ 2005年建成,卫岗,玄武,https://nj.lianjia.com/xiaoqu/1411045170618/
"
近地铁10号线小行站
",33653元/m2,,/ 2007年建成,小行,雨花台,https://nj.lianjia.com/xiaoqu/1411042942570/
"
近地铁10号线小行站
",35492元/m2,,/ 2009年建成,小行,雨花台,https://nj.lianjia.com/xiaoqu/1411043461305/
"
近地铁1号线南京南站站
",46792元/m2,,/ 2000年建成,岔路口,雨花台,https://nj.lianjia.com/xiaoqu/1411063616004/
"
近地铁1号线南京南站站
",26359元/m2,,/ 2010年建成,宁南,雨花台,https://nj.lianjia.com/xiaoqu/1411047704990/
"
近地铁s3号线铁心桥站
",32381元/m2,,/ 2010年建成,铁心桥,雨花台,https://nj.lianjia.com/xiaoqu/1411043513596/
"
近地铁1号线南京南站站
",27640元/m2,,/ 2011年建成,宁南,雨花台,https://nj.lianjia.com/xiaoqu/1411047705974/
"
近地铁1号线软件大道站
",47204元/m2,,/ 2005年建成,宁南,雨花台,https://nj.lianjia.com/xiaoqu/1411046897383/
"
近地铁2号线油坊桥站
",25181元/m2,,/ 2009年建成,铁心桥,雨花台,https://nj.lianjia.com/xiaoqu/2511053543583/
"
近地铁1号线中华门站
",37043元/m2,,/ 2007年建成,能仁里,雨花台,https://nj.lianjia.com/xiaoqu/1411000000793/
"
近地铁3号线卡子门站
",44344元/m2,,/ 2003年建成,宁南,雨花台,https://nj.lianjia.com/xiaoqu/1411046392500/
"
近地铁s3号线春江路站
",22782元/m2,,/ 2008年建成,铁心桥,雨花台,https://nj.lianjia.com/xiaoqu/2511051918341/
"
近地铁1号线软件大道站
",46991元/m2,,/ 2005年建成,宁南,雨花台,https://nj.lianjia.com/xiaoqu/1411046897386/
"
近地铁1号线安德门站
",29101元/m2,,/ 1998年建成,能仁里,雨花台,https://nj.lianjia.com/xiaoqu/1411099811759/
"
近地铁1号线天隆寺站
",21846元/m2,,/ 2015年建成,雨花新村,雨花台,https://nj.lianjia.com/xiaoqu/146940694949501/
"
",21033元/m2,,/ 2007年建成,铁心桥,雨花台,https://nj.lianjia.com/xiaoqu/2511053413436/
"
近地铁1号线中华门站
",38475元/m2,,/ 2011年建成,能仁里,雨花台,https://nj.lianjia.com/xiaoqu/1411045838894/
"
近地铁1号线花神庙站
",45831元/m2,,/ 2009年建成,宁南,雨花台,https://nj.lianjia.com/xiaoqu/1411046904886/
"
近地铁1号线花神庙站
",40207元/m2,,/ 2004年建成,宁南,雨花台,https://nj.lianjia.com/xiaoqu/1411041472845/
"
",21274元/m2,,/ 2015年建成,板桥,雨花台,https://nj.lianjia.com/xiaoqu/149725643600000/
"
近地铁s3号线景明佳园站
",22988元/m2,,/ 1999年建成,宁南,雨花台,https://nj.lianjia.com/xiaoqu/1411047792428/
"
",22100元/m2,,/ 2011年建成,板桥,雨花台,https://nj.lianjia.com/xiaoqu/1411046917310/
"
近地铁s3号线春江路站
",23330元/m2,,/ 2005年建成,铁心桥,雨花台,https://nj.lianjia.com/xiaoqu/2511051889944/
"
近地铁1号线安德门站
",26565元/m2,,/ 1990年建成,雨花新村,雨花台,https://nj.lianjia.com/xiaoqu/1411042898719/
"
近地铁1号线安德门站
",30579元/m2,,/ 2000年建成,安德门,雨花台,https://nj.lianjia.com/xiaoqu/1411000000430/
"
",25559元/m2,,/ 2016年建成,板桥,雨花台,https://nj.lianjia.com/xiaoqu/1411063469828/
"
近地铁1号线安德门站
",28804元/m2,,/ 1999年建成,安德门,雨花台,https://nj.lianjia.com/xiaoqu/2511052161839/
"
",37683元/m2,,/ 2003年建成,能仁里,雨花台,https://nj.lianjia.com/xiaoqu/1411041887733/
"
",23248元/m2,,/ 2014年建成,板桥,雨花台,https://nj.lianjia.com/xiaoqu/1411063414455/
"
近地铁1号线安德门站
",28077元/m2,,/ 1977年建成,能仁里,雨花台,https://nj.lianjia.com/xiaoqu/1411844002001598/
"
近地铁3号线卡子门站
",39087元/m2,,/ 2000年建成,洪家园,雨花台,https://nj.lianjia.com/xiaoqu/1411046918154/
"
近地铁4号线仙林湖站
",34436元/m2,,/ 2012年建成,仙林,栖霞,https://nj.lianjia.com/xiaoqu/2511052224247/
"
",36169元/m2,,/ 2013年建成,仙林,栖霞,https://nj.lianjia.com/xiaoqu/1411063013336/
"
近地铁2号线经天路站
",35677元/m2,,/ 2002年建成,仙林,栖霞,https://nj.lianjia.com/xiaoqu/1411063102227/
"
",27875元/m2,,/ 2009年建成,仙林,栖霞,https://nj.lianjia.com/xiaoqu/2511051425261/
"
近地铁2号线学则路站
",36668元/m2,,/ 2005年建成,仙林,栖霞,https://nj.lianjia.com/xiaoqu/2511051431692/
"
近地铁2号线学则路站
",35912元/m2,,/ 2008年建成,仙林,栖霞,https://nj.lianjia.com/xiaoqu/2511051432030/
"
近地铁2号线金马路站
",29594元/m2,,/ 2010年建成,马群,栖霞,https://nj.lianjia.com/xiaoqu/1411048230056/
"
近地铁2号线经天路站
",40768元/m2,,/ 2010年建成,仙林,栖霞,https://nj.lianjia.com/xiaoqu/1411062852936/
"
近地铁2号线学则路站
",40841元/m2,,/ 2006年建成,仙林,栖霞,https://nj.lianjia.com/xiaoqu/2511051431174/
"
",21576元/m2,,/ 2004年建成,马群,栖霞,https://nj.lianjia.com/xiaoqu/1411046917300/
"
",30039元/m2,,/ 2011年建成,仙林,栖霞,https://nj.lianjia.com/xiaoqu/2511051425437/
"
近地铁2号线马群站
",26445元/m2,,/ 2000年建成,马群,栖霞,https://nj.lianjia.com/xiaoqu/1411058127070/
"
",28401元/m2,,/ 2012年建成,尧化门,栖霞,https://nj.lianjia.com/xiaoqu/1411063291037/
"
近地铁4号线仙林湖站
",35260元/m2,,/ 2013年建成,仙林,栖霞,https://nj.lianjia.com/xiaoqu/2511053880746/
"
近地铁2号线学则路站
",38564元/m2,,/ 2007年建成,仙林,栖霞,https://nj.lianjia.com/xiaoqu/2511051955234/
"
",25416元/m2,,/ 2013年建成,麒麟镇,栖霞,https://nj.lianjia.com/xiaoqu/1411063107447/
"
",21062元/m2,,/ 2004年建成,马群,栖霞,https://nj.lianjia.com/xiaoqu/1411046917304/
"
",20840元/m2,,/ 2005年建成,马群,栖霞,https://nj.lianjia.com/xiaoqu/2511052609878/
"
近地铁4号线仙林湖站
",33238元/m2,,/ 2006年建成,仙林,栖霞,https://nj.lianjia.com/xiaoqu/1411063433510/
"
近地铁4号线仙林湖站
",36445元/m2,,/ 2012年建成,仙林,栖霞,https://nj.lianjia.com/xiaoqu/1411063030090/
"
",35052元/m2,,/ 2013年建成,仙林,栖霞,https://nj.lianjia.com/xiaoqu/1411099934544/
"
近地铁2号线钟灵街站
",29774元/m2,,/ 2005年建成,马群,栖霞,https://nj.lianjia.com/xiaoqu/1411047144710/
"
",21324元/m2,,/ 2007年建成,马群,栖霞,https://nj.lianjia.com/xiaoqu/2511052905759/
"
近地铁1号线迈皋桥站
",29862元/m2,,/ 2008年建成,迈皋桥,栖霞,https://nj.lianjia.com/xiaoqu/2511052777405/
"
",34844元/m2,,/ 2013年建成,仙林,栖霞,https://nj.lianjia.com/xiaoqu/1411062815224/
"
近地铁2号线仙林中心站
",34259元/m2,,/ 2006年建成,仙林,栖霞,https://nj.lianjia.com/xiaoqu/2511052332740/
"
",29511元/m2,,/ 2010年建成,晓庄,栖霞,https://nj.lianjia.com/xiaoqu/2511053949548/
"
近地铁1号线迈皋桥站
",28180元/m2,,/ 2005年建成,迈皋桥,栖霞,https://nj.lianjia.com/xiaoqu/1411046918157/
"
",22024元/m2,,/ 2004年建成,马群,栖霞,https://nj.lianjia.com/xiaoqu/1411046917303/
"
近地铁2号线仙鹤门站
",45064元/m2,,/ 2010年建成,马群,栖霞,https://nj.lianjia.com/xiaoqu/146984826891915/
"
近地铁1号线河定桥站
",24103元/m2,,/ 2007年建成,百家湖,江宁,https://nj.lianjia.com/xiaoqu/2511051666116/
"
近地铁1号线中国药科大学站
",26342元/m2,,/ 2005年建成,江宁大学城,江宁,https://nj.lianjia.com/xiaoqu/1411099825154/
"
近地铁3号线天元西路站
",35918元/m2,,/ 2013年建成,百家湖,江宁,https://nj.lianjia.com/xiaoqu/1411050646977/
"
",21975元/m2,,/ 2000年建成,正方新城,江宁,https://nj.lianjia.com/xiaoqu/1411063103011/
"
近地铁3号线胜太西路站
",25644元/m2,,/ 2006年建成,百家湖,江宁,https://nj.lianjia.com/xiaoqu/1411050268508/
"
近地铁1号线胜太路站
",30331元/m2,,/ 2004年建成,百家湖,江宁,https://nj.lianjia.com/xiaoqu/1411041492791/
"
近地铁1号线竹山路站
",29489元/m2,,/ 2009年建成,东山镇,江宁,https://nj.lianjia.com/xiaoqu/1411041414549/
"
近地铁1号线双龙大道站
",27250元/m2,,/ 2009年建成,岔路口,江宁,https://nj.lianjia.com/xiaoqu/146669451670311/
"
",26354元/m2,,/ 2008年建成,九龙湖,江宁,https://nj.lianjia.com/xiaoqu/2511051679311/
"
近地铁1号线竹山路站
",28386元/m2,,/ 2005年建成,科学园,江宁,https://nj.lianjia.com/xiaoqu/2511051341161/
"
近地铁s1号线翔宇路北站
",21255元/m2,,/ 2000年建成,禄口,江宁,https://nj.lianjia.com/xiaoqu/1412447592230243/
"
近地铁3号线东大九龙湖校区站
",35450元/m2,,/ 2016年建成,九龙湖,江宁,https://nj.lianjia.com/xiaoqu/1411062783921/
"
近地铁3号线胜太西路站
",28704元/m2,,/ 2008年建成,百家湖,江宁,https://nj.lianjia.com/xiaoqu/1411041480668/
"
近地铁1号线河定桥站
",30758元/m2,,/ 2001年建成,百家湖,江宁,https://nj.lianjia.com/xiaoqu/2511051725115/
"
近地铁s1号线翠屏山站
",30720元/m2,,/ 2011年建成,将军大道,江宁,https://nj.lianjia.com/xiaoqu/1411049364008/
"
近地铁1号线小龙湾站
",37409元/m2,,/ 2010年建成,九龙湖,江宁,https://nj.lianjia.com/xiaoqu/1411041487932/
"
近地铁3号线东大九龙湖校区站
",29672元/m2,,/ 2012年建成,九龙湖,江宁,https://nj.lianjia.com/xiaoqu/2511052676391/
"
",19913元/m2,,/ 2003年建成,麒麟镇,江宁,https://nj.lianjia.com/xiaoqu/1412832641134083/
"
",24473元/m2,,/ 2003年建成,麒麟镇,江宁,https://nj.lianjia.com/xiaoqu/2511053030010/
